name,params,length,setup_time,sample_time,suc_count,total_time
nand,N=20 K=1,64,227.746740,-1,0,14068.874203
nand,N=20 K=1,128,225.741046,-1,0,27399.087669
nand,N=20 K=2,8,418.318819,-1,0,1918.900088
nand,N=20 K=2,16,492.356239,-1,0,4088.156870
nand,N=20 K=2,32,472.777697,-1,0,7847.962226
nand,N=20 K=2,64,489.112606,-1,0,16432.814638
nand,N=20 K=2,128,434.656695,-1,0,27218.352303
nand,N=20 K=3,8,730.570596,-1,0,2269.211811
nand,N=20 K=3,16,715.313882,-1,0,4060.618668
nand,N=20 K=3,32,730.909146,-1,0,8408.019174
nand,N=20 K=3,64,718.973757,-1,0,17582.499597
nand,N=20 K=3,128,735.403033,-1,0,32090.929646
nand,N=20 K=4,8,853.149599,-1,0,1895.966290
nand,N=20 K=4,16,844.676401,-1,0,3738.669211
nand,N=20 K=4,32,818.224044,-1,0,6935.845408
nand,N=20 K=4,64,936.839120,-1,0,15765.258823
nand,N=20 K=4,128,953.290405,-1,0,31320.886159
nand,N=40 K=1,8,3166.241380,-1,0,2243.799130
nand,N=40 K=1,16,3218.675028,-1,0,4152.519612
nand,N=40 K=1,32,2784.884067,-1,0,7691.869046
nand,N=40 K=1,64,2839.192869,-1,0,13889.205883
nand,N=40 K=1,128,3187.928119,-1,0,31412.985724
nand,N=40 K=2,8,5698.819419,-1,0,2042.131433
nand,N=40 K=2,16,5612.772003,-1,0,3785.180485
nand,N=40 K=2,32,6256.324257,-1,0,8248.150115
nand,N=40 K=2,64,6321.299827,-1,0,15697.094332
nand,N=40 K=2,128,5717.265826,-1,0,27539.921959
nand,N=40 K=3,8,9303.764388,-1,0,2204.965640
nand,N=40 K=3,16,9373.285614,-1,0,4100.049695
nand,N=40 K=3,32,9234.578859,-1,0,7734.590101
nand,N=40 K=3,64,9254.531951,-1,0,16166.636540
nand,N=40 K=3,128,8354.505872,-1,0,29203.634376
nand,N=40 K=4,8,11232.757323,-1,0,1937.337120
nand,N=40 K=4,16,12395.098640,-1,0,4096.203837
nand,N=40 K=4,32,12525.726050,-1,0,8254.378867
nand,N=40 K=4,64,12731.693224,-1,0,15495.252936
nand,N=40 K=4,128,12826.380512,-1,0,31370.211906
nand,N=60 K=1,8,13292.261186,-1,0,2028.772563
nand,N=60 K=1,16,14833.709291,-1,0,4191.954377
nand,N=60 K=1,32,14808.826914,-1,0,8020.544133
nand,N=60 K=1,64,14883.039500,-1,0,16066.464161
nand,N=60 K=1,128,13531.137043,-1,0,28051.002584
nand,N=60 K=2,8,30461.357603,-1,0,2324.329312
nand,N=60 K=2,16,29785.178450,-1,0,4296.421951
nand,N=60 K=2,32,30324.641695,-1,0,8082.288890
nand,N=60 K=2,64,30010.410532,-1,0,16866.442635
nand,N=60 K=2,128,29570.308718,-1,0,33010.019403
brp,N=16 MAX=2,8,180.805125,-1,0,1386.104444
brp,N=16 MAX=2,16,21.702825,-1,0,2611.844646
brp,N=16 MAX=2,32,24.300373,-1,0,5246.482482
brp,N=16 MAX=2,64,21.748588,-1,0,9659.693677
brp,N=16 MAX=2,128,21.129938,-1,0,20132.606606
brp,N=16 MAX=3,8,22.792639,-1,0,1465.149500
brp,N=16 MAX=3,16,22.629852,-1,0,2739.531790
brp,N=16 MAX=3,32,22.240092,-1,0,5041.516722
brp,N=16 MAX=3,64,22.430394,-1,0,9867.390795
brp,N=16 MAX=3,128,22.352082,-1,0,20296.594327
brp,N=16 MAX=4,8,22.863237,-1,0,1382.522296
brp,N=16 MAX=4,16,22.625951,-1,0,2622.204769
